Title,URL,Date Created,Summary
"임직원 브이로그, ESG 소식, 귀염 뽀짝 웹툰까지… 삼성전자 반도체 '카카오 뷰' 채널로 GO GO – 삼성반도체이야기 - 삼성반도체이야기",https://www.samsungsemiconstory.com/kr/%EC%9E%84%EC%A7%81%EC%9B%90-%EB%B8%8C%EC%9D%B4%EB%A1%9C%EA%B7%B8-esg-%EC%86%8C%EC%8B%9D-%EA%B7%80%EC%97%BC-%EB%BD%80%EC%A7%9D-%EC%9B%B9%ED%88%B0%EA%B9%8C%EC%A7%80-%EC%82%BC%EC%84%B1/,"Thu, 21 Apr 2022 00:17:18 GMT","임직원 브이로그, ESG 소식, 귀염 뽀짝 웹툰까지… 삼성전자 반도체 '카카오 뷰' 채널로 GO GO – 삼성반도체이야기  
삼성반도체이야기"
"삼성전자, 갤럭시 기기에 사용되는 '폐어망 플라스틱' 생산으로 탄소절감 효과 인증 - Samsung Newsroom Korea",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EA%B0%A4%EB%9F%AD%EC%8B%9C-%EA%B8%B0%EA%B8%B0%EC%97%90-%EC%82%AC%EC%9A%A9%EB%90%98%EB%8A%94-%ED%8F%90%EC%96%B4%EB%A7%9D-%ED%94%8C%EB%9D%BC%EC%8A%A4%ED%8B%B1,"Thu, 21 Apr 2022 02:13:13 GMT","삼성전자, 갤럭시 기기에 사용되는 '폐어망 플라스틱' 생산으로 탄소절감 효과 인증  Samsung Newsroom Korea"
삼성전자 노사 진전 없는 임금교섭 < 노사관계 < 노동 < 기사본문 - 매일노동뉴스,https://www.labortoday.co.kr/news/articleView.html?idxno=208508,"Wed, 20 Apr 2022 22:30:12 GMT",삼성전자 노사 진전 없는 임금교섭 < 노사관계 < 노동 < 기사본문  매일노동뉴스
"삼성전자, 갤럭시 기기 폐어망 활용해 탄소배출 25%↓ - 더밸류뉴스",http://thevaluenews.co.kr/news/view.php?idx=168757,"Thu, 21 Apr 2022 02:00:01 GMT","삼성전자, 갤럭시 기기 폐어망 활용해 탄소배출 25%↓  더밸류뉴스"
"삼성전자, 자립 준비 청소년 위한 '삼성 희망디딤돌' 경북센터 개소 - 뉴스와이어",https://www.newswire.co.kr/newsRead.php?no=943156,"Thu, 21 Apr 2022 04:48:53 GMT","삼성전자, 자립 준비 청소년 위한 '삼성 희망디딤돌' 경북센터 개소  뉴스와이어"
"임직원 브이로그, ESG 소식, 귀염 뽀짝 웹툰까지… 삼성전자 반도체 '카카오 뷰' 채널로 GO GO – 삼성반도체이야기 - 삼성반도체이야기",https://www.samsungsemiconstory.com/kr/%EC%9E%84%EC%A7%81%EC%9B%90-%EB%B8%8C%EC%9D%B4%EB%A1%9C%EA%B7%B8-esg-%EC%86%8C%EC%8B%9D-%EA%B7%80%EC%97%BC-%EB%BD%80%EC%A7%9D-%EC%9B%B9%ED%88%B0%EA%B9%8C%EC%A7%80-%EC%82%BC%EC%84%B1/,"Thu, 21 Apr 2022 00:17:18 GMT","임직원 브이로그, ESG 소식, 귀염 뽀짝 웹툰까지… 삼성전자 반도체 '카카오 뷰' 채널로 GO GO – 삼성반도체이야기  
삼성반도체이야기"
삼성전자 코스피 시총 비중 3년만에 최소…18%대로 줄어 - 매일경제,https://www.mk.co.kr/news/economy/view/2022/04/354323/,"Wed, 20 Apr 2022 21:05:00 GMT",삼성전자 코스피 시총 비중 3년만에 최소…18%대로 줄어  매일경제
삼성전자 '월드IT쇼 2022' 참가…'팀삼성 라이프' 체험공간 운영 - Samsung Newsroom Korea,https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-%EC%9B%94%EB%93%9Cit%EC%87%BC-2022-%EC%B0%B8%EA%B0%80%ED%8C%80%EC%82%BC%EC%84%B1-%EB%9D%BC%EC%9D%B4%ED%94%84-%EC%B2%B4%ED%97%98%EA%B3%B5%EA%B0%84,"Tue, 19 Apr 2022 23:16:42 GMT",삼성전자 '월드IT쇼 2022' 참가…'팀삼성 라이프' 체험공간 운영  Samsung Newsroom Korea
"삼성전자, '폐어망 플라스틱' 사용 탄소절감 효과 인증 - 뉴데일리경제",https://biz.newdaily.co.kr/site/data/html/2022/04/21/2022042100062.html,"Thu, 21 Apr 2022 02:17:22 GMT","삼성전자, '폐어망 플라스틱' 사용 탄소절감 효과 인증  뉴데일리경제"
"삼성전자, CJ푸드빌과 손잡고 '비스포크 큐커' 미식 경험 확대 - Samsung Newsroom Korea",https://news.samsung.com/kr/%EC%82%BC%EC%84%B1%EC%A0%84%EC%9E%90-cj%ED%91%B8%EB%93%9C%EB%B9%8C%EA%B3%BC-%EC%86%90%EC%9E%A1%EA%B3%A0-%EB%B9%84%EC%8A%A4%ED%8F%AC%ED%81%AC-%ED%81%90%EC%BB%A4-%EB%AF%B8%EC%8B%9D-%EA%B2%BD,"Thu, 21 Apr 2022 02:13:13 GMT","삼성전자, CJ푸드빌과 손잡고 '비스포크 큐커' 미식 경험 확대  Samsung Newsroom Korea"
